kind,term,year,institution,number,title,duration
regular,Spring,2026,Iowa State University,DS 4010,Data Science Capstone,
regular,Fall,2025,Iowa State University,STAT 6150,Advanced Bayesian Methods,
regular,Spring,2025,Iowa State University,STAT 4610X,Sports Analytics,
regular,Spring,2025,Iowa State University,DS 4010,Data Science Capstone,
regular,Fall,2024,Iowa State University,STAT 5870-1,Statistical Methods For Research Workers,
regular,Spring,2024,Iowa State University,STAT 486/586,Introduction to Statistical Computing,
regular,Spring,2024,Iowa State University,STAT 544,Bayesian Statistics,
regular,Spring,2023,Iowa State University,STAT 486/586,Introduction to Statistical Computing,
regular,Fall,2022,Iowa State University,STAT 330,Probability and Statistics for Computer Science,
regular,Spring,2022,Iowa State University,HCI 522,Scientific Methods in Human Computer Interaction,
regular,Fall,2021,Iowa State University,STAT 587-1,Statistical Methods For Research Workers,
regular,Fall,2021,Iowa State University,STAT 615,Advanced Bayesian Methods,
regular,Spring,2021,Iowa State University,STAT 330-2,Probability and Statistics for Computer Science,
regular,Spring,2021,Iowa State University,STAT 587-3,Statistical Methods For Research Workers,
regular,Fall,2020,Iowa State University,STAT 587-2,Statistical Methods For Research Workers,
regular,Spring,2019,Iowa State University,STAT 544,Bayesian Statistics,
regular,Spring,2019,Iowa State University,STAT 587C,Statistical Methods for Research Workers,
regular,Fall,2018,Iowa State University,STAT 226,Introduction to Business Statistics,
regular,Spring,2018,Iowa State University,STAT 544,Bayesian Statistics,
regular,Spring,2018,Iowa State University,STAT 401C,Statistical Methods for Research Workers,
regular,Fall,2017,Iowa State University,STAT 615,Advanced Bayesian Methods,
regular,Spring,2017,Iowa State University,STAT 401D,Statistical Methods for Research Workers,
regular,Spring,2017,Iowa State University,STAT 544,Bayesian Statistics,
regular,Fall,2016,Iowa State University,STAT 330,Probability and Statistics for Computer Science,
regular,Spring,2016,Iowa State University,STAT 544,Bayesian Statistics,
regular,Fall,2015,Iowa State University,STAT 615,Advanced Bayesian Methods,
regular,Spring,2015,Iowa State University,STAT 544,Bayesian Statistics,
regular,Fall,2014,Iowa State University,STAT 401A,Statistical Methods for Research Workers,
regular,Fall,2014,Iowa State University,STAT 330,Probability and Statistics for Computer Science,
regular,Spring,2014,Iowa State University,STAT 544,Bayesian Statistics,
regular,Fall,2013,Iowa State University,STAT 401A,Statistical Methods for Research Workers,
regular,Fall,2013,Iowa State University,STAT 615,Advanced Bayesian Methods,
regular,Spring,2013,Iowa State University,STAT 544,Bayesian Statistics,
regular,Fall,2012,Iowa State University,STAT 401A,Statistical Methods for Research Workers,
regular,Fall,2012,Iowa State University,HON 321E,Paradox,
regular,Spring,2012,Iowa State University,STAT 401A,Statistical Methods for Research Workers,
regular,Fall,2011,Iowa State University,STAT 615,Advanced Bayesian Methods,
regular,Spring,2011,"University of California, Santa Barbara",PSTAT 120C,Probability and Statistics,
regular,Spring,2011,"University of California, Santa Barbara",PSTAT 230,Seminars and Projects in Statistical Consulting,
regular,Winter,2011,"University of California, Santa Barbara",PSTAT 220B,Advanced Statistical Methods (GLMs),
regular,Fall,2010,"University of California, Santa Barbara",PSTAT 120B,Probability and Statistics,
regular,Spring,2010,"University of California, Santa Barbara",PSTAT 120B,Probability and Statistics (estimation and testing),
regular,Spring,2010,"University of California, Santa Barbara",PSTAT 230,Seminar and Projects in Statistical Consulting,
regular,Winter,2010,"University of California, Santa Barbara",PSTAT 262,Applied Bayesian Time Series,
short,Jan,2022,Iowa State University,,Data Management Workshop,1-day
short,Dec,2016,International Society for Disease Surveillance,,Introduction to R for Biosurveillance,1-day
short,Dec,2015,International Society for Disease Surveillance,,Introduction to R for Biosurveillance,1-day
short,Dec,2014,International Society for Disease Surveillance,,Introduction to R for Biosurveillance,1-day
short,Apr,2010,"American Statistical Association, Albuquerque Chapter",,Sequential Monte Carlo methods,1/2-day
short,Dec,2009,Natural Resources Research Institute,,Introduction to statistical analysis in R,2-day
