role,employer,supervisor,start_date,end_date
Consultant,"Eocene Environmental Group, Inc.",,2024,2026
Consultant,Kemin Industries,,2024,2024
Consultant,"Boehringer Ingelheim Vetmedica, Inc.",,2012,2013
Consultant,Natural Resources Research Institute,,2009,2010
Consultant,Denver Health,,2008,2008
Consultant,Purdue Pharma LP,,2007,2008
Research Assistant,Duke University,Mike West,2006,2009
Research Assistant,University of Minnesota,Brad Carlin,2004,2005
Research Assistant,University of Minnesota,Grace Peng,2003,2004
Junior Scientist,University of Minnesota,,2001,2004
Junior Scientist,Natural Resources Research Institute,,2003,2003
Research Engineer,Procter & Gamble,,1999,2001
