person_id,name,website,linkedin,orcid,current_affiliation,notes
jarad-niemi,Jarad Niemi,,,https://orcid.org/0000-0002-5079-158X,,
abhishek-chakraborty,Abhishek Chakraborty,,,,,
adam-martin-schwarze,Adam Martin-Schwarze,,,,,
aditya-ranade,Aditya Ranade,,,,,
alex-cleveringa,Alex Cleveringa,,,,,
alexander-phillips,Alexander Phillips,,,,,
alicia-carriquiry,Alicia Carriquiry,,,,,
alon-klekner,Alon Klekner,,,,,
amy-crawford,Amy Crawford,,,,,
an-nguyen,An Nguyen,,,,,
andrea-kaplan,Andrea Kaplan,,,,,
andreea-erciulescu,Andreea Erciulescu,,,,,
andrew-lithio,Andrew Lithio,,,,,
anna-diaz-farias,Anna Diaz Farias,,,,,
anna-macdonald,Anna MacDonald,,,,,
anwen-yin,Anwen Yin,,,,,
aridania-gerardo,Aridania Gerardo,,,,,
astha-singh,Astha Singh,,,,,
ben-monroe,Ben Monroe,,,,,
benedict-neo,Benedict Neo,,,,,
bhargav-yellepeddi,Bhargav Yellepeddi,,,,,
brady-clausen,Brady Clausen,,,,,
brady-mcneil,Brady McNeil,,,,,
brandon-brockshus,Brandon Brockshus,,,,,
caio-dos-santos,Caio dos Santos,,,,,
caitlyn-abell,Caitlyn Abell,,,,,
carlos-llosa,Carlos Llosa,,,,,
carson-sievert,Carson Sievert,,,,,
casey-oliver,Casey Oliver,,,,,
charles-labuzzetta,Charles Labuzzetta,,,,,
chenhui-liu,Chenhui Liu,,,,,
chi-yang-chiu,Chi-Yang Chiu,,,,,
colin-lewis-beck,Colin Lewis-Beck,,,,,
dan-nettleton,Dan Nettleton,,,,,
danica-ommen,Danica Ommen,,,,,
debarshi-chakraborty,Debarshi Chakraborty,,,,,
daniel-ries,Daniel Ries,,,,,
danny-sheinson,Danny Sheinson,,,,,
david-gao,David Gao,,,,,
david-osthus,David Osthus,,,,,
dennis-lock,Dennis Lock,,,,,
diego-ortiz,Diego Ortiz,,,,,
earl-hur,Earl Hur,,,,,
eddie-shea,Eddie Shea,,,,,
eduardo-trujillo,Eduardo Trujillo,,,,,
elizabeth-hines,Elizabeth Hines,,,,,
eric-mittman,Eric Mittman,,,,,
federico-veneri-guarch,Federico Veneri Guarch,,,,,
feifan-cao,Feifan Cao,,,,,
fredrick-osei,Fredrick Osei,,,,,
gabriel-arthur,Gabriel Arthur,,,,,
gerald-niemi,Gerald J. Niemi,,,,,Co-author; Jarad's father. Distinct from jarad-niemi.
gray-calhoun,Gray Calhoun,,,,,
greg-krahn,Greg Krahn,,,,,
gulzina-kuttubekova,Gulzina Kuttubekova,,,,,
han-gang,Han Gang,,,,,
hao-cheng,Hao Cheng,,,,,
hao-sun,Hao Sun,,,,,
huy-pham,Huy Pham,,,,,
ian-parzyszek,Ian Parzyszek,,,,,
ignacio-alvarez-castro,Ignacio Alvarez-Castro,,,,,
isuri-hitinayake,Isuri Hitinayake,,,,,
jason-saporta,Jason Saporta,,,,,
jennifer-chang,Jennifer Chang,,,,,
jessica-stephenson,Jessica Stephenson,,,,,
jian-zeng,Jian Zeng,,,,,
jingnan-zhao,Jingnan Zhao,,,,,
jordan-giese,Jordan Giese,,,,,
joseph-stock,Joseph Stock,,,,,
kai-zhou,Kai Zhou,,,,,
katie-will,Katie Will,,,,,
kaushiki-singh,Kaushiki Singh,,,,,
kenneth-wakeland,Kenneth Wakeland,,,,,
keyshell-shakira-cole-hodgson,Keyshell Shakira Cole Hodgson,,,,,
lei-xue,Lei Xue,,,,,
lingnan-yuan,Lingnan Yuan,,,,,
luis-damiano,Luis Damiano,,,,,
luvenia-hellams,Luvenia Hellams,,,,,
lydia-english,Lydia English,,,,,
majd-alslman,Majd Alslman,,,,,
manish-mosalpuri,Manish Mosalpuri,,,,,
marie-hardt,Marie Hardt,,,,,
matt-nowatzke,Matt Nowatzke,,,,,
matt-stephenson,Matt Stephenson,,,,,
matthew-simpson,Matthew Simpson,,,,,
matthew-wheeler,Matthew Wheeler,,https://www.linkedin.com/in/matt-wheeler-0757971/,,,
meiling-liu,Meiling Liu,,,,,
melanie-hayr,Melanie Hayr,,,,,
minliang-yang,Minliang Yang,,,,,
natalia-da-silva,Natalia da Silva,,,,,
nate-garton,Nate Garton,,,,,
nehemias-ulloa,Nehemias Ulloa,,,,,
nichellele-carrington,Nichelle'Le Carrington,,,,,
nicholas-clark,Nicholas Clark,,,,,
nicholas-michaud,Nicholas Michaud,,,,,
olumide-olafasakin,Olumide Olafasakin,,,,,
petrutza-caragea,Petrutza Caragea,,,,,
philip-dixon,Philip Dixon,,,,,
pratik-sapkota,Pratik Sapkota,,,,,
pulong-ma,Pulong Ma,,,,,
pushpinder-gill,Pushpinder Gill,,,,,
qianqian-shan,Qianqian Shan,,,,,
rachel-fahrenholtz,Rachel Fahrenholtz,,,,,
rayma-cooley,Rayma Cooley,,,,,
rebecca-reeves,Rebecca Reeves,,,,,
rebekah-scott,Rebekah Scott,,,,,
robert-foster,Robert Foster,,,,,
roger-castillo-ramos,Roger Castillo-Ramos,,,,,
saloni-purandare,Saloni Purandare,,,,,
samuel-benidt,Samuel Benidt,,,,,
seo-yeon-jung,Seo Yeon-Jung,,,,,
shubham-prashant-khoje,Shubham-Prashant Khoje,,,,,
spencer-wadsworth,Spencer Wadsworth,,,,,
srilikitheswari-korrapati,Srilikitheswari Korrapati,,,,,
susanne-chan,Susanne Chan,,,,,
tong-tong,Tong Tong,,,,,
troy-ness,Troy Ness,,,,,
tyler-streeter,Tyler Streeter,,,,,
vianey-leos,Vianey Leos,,,,,
virginia-nichols,Virginia Nichols,,,,,
wade-dismukes,Wade Dismukes,,,,,
wendy-meiring,Wendy Meiring,,,,,
will-landau,Will Landau,,,,,
xiaolan-wan,Xiaolan Wan,,,,,
xin-yin,Xin Yin,,,,,
xiyuan-sun,Xiyuan Sun,,,,,
xufang-zheng,Xufang Zheng,,,,,
yet-nguyen,Yet Nguyen,,,,,
yihui-xie,Yihui Xie,,,,,
