date,title,presenting_author,work_authors,venue,kind,solicitation,venue_type,notes,internal_notes
2026-04-24,Bayesian success in disease severity forecasting,Jarad Niemi,,Best of Statistical Science (BOSS) 2026,talk,invited,conference,,
2026-03-23,Specifying prior distributions in reliability applications,Jarad Niemi,,SIAM Conference on Uncertainty Quantification (UQ26),talk,invited,conference,,
2025-10-10,Bayesian methodology for disease severity forecasting,Jarad Niemi,,"University of Nebraska, Medical Center",talk,invited,university,,
2025-05-02,Bayesian methodology for disease severity forecasting,Jarad Niemi,,Medical College of Wisconsin,talk,invited,university,,
2023-06-15,Gaussian Process Emulators with Functional Inputs for Water Erosion Prediction Project,Jarad Niemi,,NCCC170,talk,contributed,,,
2022-11-14,Building statistical emulators of computer models,Jarad Niemi,,St. Olaf College,talk,invited,university,,
2022-11-03,Toward emulators for agricultural computer models,Jarad Niemi,,Virginia Tech,talk,invited,university,,
2022-09-26,Advancing Scientific Practice through Agricultural Statistics,Jarad Niemi,,Iowa State University,talk,promotion talk,,,
2022-06-16,Computer Model Emulation in Agriculture,Jarad Niemi,,NCCC170,talk,contributed,,,
2021-06-11,Gaussian processes with functional length-scales for agricultural models,Jarad Niemi,,Statistical Society of Canada Annual Meeting,talk,invited,conference,,
2020-10-22,COVID-19 Forecast Hub,Jarad Niemi,,Iowa State University Undergraduate STAT Club,talk,contributed,,,
2020-10-15,COVID-19 forecast hub,Jarad Niemi,,University of Iowa,talk,invited,university,,
2020-09-23,Emulation of Agricultural Production Systems sIMulator (APSIM),Jarad Niemi,,Los Alamos National Labs,talk,invited,agency,,
2020-08-06,Multivariate temporal modeling of crime with dynamic linear models,Jarad Niemi,,Joint Statistical Meetings,talk,invited,conference,,
2020-03,OAT knot selection for approximate Gaussian processes,Jarad Niemi,,SIAM Conference on Uncertainty Quantification UQ20,talk,invited,conference,canceled due to COVID-19,
2020-01-10,Sequential knot selection in sparse Gaussian processes,Jarad Niemi,,Simon Fraser University,talk,invited,university,,
2019-07-30,Subfield Yield Analysis for Precision Agriculture,Jarad Niemi,,Joint Statistical Meetings,talk,contributed,major conference,,
2019-02-01,Bayesian analysis in R,Jarad Niemi,,Rgronomists/LunchinatoRs,talk,contributed,,,
2018-11-28,Emulation of WEPP and DEP,Jarad Niemi,,SAMSI MUMS Prediction Uncertainty and Extrapolation working group,talk,contributed,,,
2018-07-31,Fully Bayesian Analysis of Hierarchical Count Regression Models,Jarad Niemi,,Joint Statistical Meetings,talk,contributed,major conference,,
2018-06-26,Fully Bayesian analysis of hierarchical count regression models applied to RNAseq,Jarad Niemi,Will Landau,2018 ISBA World Meeting,poster,contributed,,,
2017-11-28,Fully Bayesian analysis for hierarchical count regression models,Jarad Niemi,,"University of California, Irvine",talk,invited,university,,
2017-03-24,Fully Bayesian analysis of RNAseq data for gene expression heterosis detection,Jarad Niemi,,University of Massachusetts - Amherst,talk,invited,university,,
2016-12-11,Parallelized Markov chain Monte Carlo algorithms utilizing GPUs with an application to RNAseq data analysis,Jarad Niemi,,"9th International Conference of the ERCIM WG on Computational and Methodological Statistics, University of Seville, Spain, 9-",talk,invited,conference,,
2016-11-19,Using information underlying missing data for improve estimation of NFL field goal kicker accuracy,Jarad Niemi,,Midwest Sports Analytics Meetings,talk,contributed,,,
2016-08-31,Hierarchical modeling and data fusion,Jarad Niemi,,Centers for Disease Control and Prevention Seasonal Influenza Forecasting Workshop,talk,invited,agency,,
2016-05-26,Massively parallel approximate Gaussian process regression,Jarad Niemi,,"Spring Research Conference, Illinois Institute of Technology",talk,invited,conference,,
2016-04-19,Stochastic dynamic models for low count observations,Jarad Niemi,,Institute for Disease Modeling Symposium,talk,invited,agency,,
2016-04-18,Particle learning for low counts in disease outbreaks,Jarad Niemi,,Institute for Disease Modeling,talk,invited,agency,,
2015-12-11,Bayesian analysis for heterosis detection in RNAseq data,Jarad Niemi,,"Department of Statistics, Colorado State University",talk,invited,,,
