name,organization,start_date,end_date,amount,url,notes,notes_url
Emerging Leaders Academy,Iowa State University,2025,2026,,,,
College of Liberal Arts & Sciences Inclusive Excellence,Iowa State University,2025,2025,,,"Team award including Ulrike Genschel, Laura Ziegler, and Ann Hawkins",
College of Liberal Arts & Sciences Outstanding Achievement in Extension or Professional Practice,Iowa State University,2022,2022,,https://archive.las.iastate.edu/2022/08/10/celebrate-faculty-and-staff-at-las-fall-convocation-and-awards-ceremony/,,
Interdisciplinary Team Research Award,Iowa State University,2022,2022,,https://www.inside.iastate.edu/article/2022/04/28/awards,C-CHANGE,https://cchange.research.iastate.edu/
Presidential Award,American Society of Agronomy,2021,2021,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/agj2.21069,NCCC170,https://nccc170.netlify.app/
Conservation Innovation Award,Soil and Water Conservation Society,2020,2020,,https://www.swcs.org/resources/news/soil-and-water-conservation-society-recognizes-international-leaders-in-conservation,STRIPS Team,http://prairiestrips.org/
College of Liberal Arts & Sciences Institutional Service Award,Iowa State University,2018,2018,,https://news.las.iastate.edu/2018/05/14/las-announces-2018-award-winners/,,
College of Agriculture and Life Sciences Team Award,Iowa State University,2018,2018,,https://www.cals.iastate.edu/features/2018/science-based-trials-rowcrops-integrated-prairie-strips-project-received-team-award,STRIPS Team,http://prairiestrips.org/
Health Research Initiative on Infectious Diseases,Iowa State University,2012,2012,150000,,"PI Michael Cho, I was one of many investigators",
World Meeting Early Career Researchers Travel Grant,International Society for Bayesian Analysis,2012,2012,500,,,
College of Liberal Arts and Sciences grant for GPU cluster and RA support,Iowa State University,2011,2011,88000,,,
Regents Junior Faculty Fellowship,University of California,2011,2011,7500,,,
MCMSki3 conference travel support,,2011,2011,650,,,
Academic Partnership Program award,NVIDIA,2010,2010,,,2 NVIDIA C2050 GPUs,
Section on Bayesian Statistical Science Student Paper Competition winner,,2009,2009,1000,,,
Technical Contest 2nd place,International Society for Disease Surveillance,2008,2008,,,,
National Research Service Award Fellowship,National Science Foundation,2003,2004,,,,
